Date;MSFT
10/23/1992;5.54
10/26/1992;5.62
10/27/1992;5.5
10/28/1992;5.53
10/29/1992;5.62
10/30/1992;5.55
11/2/1992;5.6
11/3/1992;5.52
11/4/1992;5.53
11/5/1992;5.74
11/6/1992;5.8
11/9/1992;5.74
11/10/1992;5.8
11/11/1992;5.86
11/12/1992;5.84
11/13/1992;5.83
11/16/1992;5.8
11/17/1992;5.62
11/18/1992;5.75
11/19/1992;5.87
11/20/1992;5.94
11/23/1992;5.53
11/24/1992;5.72
11/25/1992;5.7
11/26/1992;5.7
11/27/1992;5.73
11/30/1992;5.82
12/1/1992;5.82
12/2/1992;5.67
12/3/1992;5.73
12/4/1992;5.73
12/7/1992;5.84
12/8/1992;5.78
12/9/1992;5.75
12/10/1992;5.56
12/11/1992;5.4
12/14/1992;5.45
12/15/1992;5.4
12/16/1992;5.44
12/17/1992;5.62
12/18/1992;5.62
12/21/1992;5.66
12/22/1992;5.48
12/23/1992;5.45
12/24/1992;5.45
12/25/1992;5.45
12/28/1992;5.47
12/29/1992;5.41
12/30/1992;5.37
12/31/1992;5.34
1/1/1993;5.34
1/4/1993;5.32
1/5/1993;5.41
1/6/1993;5.56
1/7/1993;5.45
1/8/1993;5.45
1/11/1993;5.57
1/12/1993;5.61
1/13/1993;5.7
1/14/1993;5.7
1/15/1993;5.61
1/18/1993;5.58
1/19/1993;5.52
1/20/1993;5.52
1/21/1993;5.59
1/22/1993;5.59
1/25/1993;5.53
1/26/1993;5.5
1/27/1993;5.39
1/28/1993;5.44
1/29/1993;5.41
2/1/1993;5.47
2/2/1993;5.56
2/3/1993;5.52
2/4/1993;5.31
2/5/1993;5.56
2/8/1993;5.36
2/9/1993;5.24
2/10/1993;5.34
2/11/1993;5.33
2/12/1993;5.23
2/15/1993;5.23
2/16/1993;5.01
2/17/1993;5.02
2/18/1993;5.1
2/19/1993;4.98
2/22/1993;4.8
2/23/1993;4.97
2/24/1993;5.24
2/25/1993;5.27
2/26/1993;5.21
3/1/1993;5.09
3/2/1993;5.29
3/3/1993;5.3
3/4/1993;5.23
3/5/1993;5.17
3/8/1993;5.23
3/9/1993;5.27
3/10/1993;5.31
3/11/1993;5.41
3/12/1993;5.56
3/15/1993;5.48
3/16/1993;5.48
3/17/1993;5.34
3/18/1993;5.33
3/19/1993;5.27
3/22/1993;5.21
3/23/1993;5.2
3/24/1993;5.39
3/25/1993;5.46
3/26/1993;5.41
3/29/1993;5.44
3/30/1993;5.69
3/31/1993;5.78
4/1/1993;5.81
4/2/1993;5.61
4/5/1993;5.72
4/6/1993;5.61
4/7/1993;5.64
4/8/1993;5.56
4/9/1993;5.56
4/12/1993;5.63
4/13/1993;5.55
4/14/1993;5.56
4/15/1993;5.45
4/16/1993;5.44
4/19/1993;5.44
4/20/1993;5.42
4/21/1993;5.3
4/22/1993;5.2
4/23/1993;5.09
