Date;MICROSOFT ;CREDIT SUISSE ASST.MAN. ;BOEING ;COCA COLA ;NIKE
23/10/1992;5.54;8.38;18.37;20;19.37
26/10/1992;5.62;8.5;17.88;20.37;19.31
27/10/1992;5.5;8.5;18.25;20.69;19.22
28/10/1992;5.53;8.38;18.06;20.69;19.37
29/10/1992;5.62;8.5;18.06;20.75;19.34
30/10/1992;5.55;8.38;18;20.31;19.47
2/11/1992;5.6;8.38;18.5;20.75;19.97
3/11/1992;5.52;8.38;18.19;20.37;20.56
4/11/1992;5.53;8.25;18.31;20.12;20.28
5/11/1992;5.74;8.25;18.12;20.44;20.19
6/11/1992;5.8;8.38;17.94;20.44;20.87
9/11/1992;5.74;8.38;18.06;20.56;20.97
10/11/1992;5.8;8.38;17.88;20.44;21.09
11/11/1992;5.86;8.5;17.56;20.94;21.06
12/11/1992;5.84;8.38;17.62;20.5;21.19
13/11/1992;5.83;8.5;17.62;20.75;21.37
16/11/1992;5.8;8.5;17.56;20.44;21.5
17/11/1992;5.62;8.5;17.25;20.37;21.81
18/11/1992;5.75;8.63;17.25;20.37;21.78
19/11/1992;5.87;8.63;16.87;20.37;21.81
20/11/1992;5.94;8.5;17.12;20.44;21.97
23/11/1992;5.53;8.5;17.5;20.37;22.09
24/11/1992;5.72;8.38;17.31;20.25;22.19
25/11/1992;5.7;8.5;16.94;20.31;21.81
26/11/1992;5.7;8.5;16.94;20.31;21.81
27/11/1992;5.73;8.38;17.44;20.19;21.91
30/11/1992;5.82;8.5;17.56;19.87;21.56
1/12/1992;5.82;8.63;17.5;19.81;21.22
2/12/1992;5.67;8.63;17;19.75;20.84
3/12/1992;5.73;8.63;17.25;19.75;20.91
4/12/1992;5.73;8.75;17.25;19.81;21.19
7/12/1992;5.84;8.5;17.44;20;21.47
8/12/1992;5.78;8.5;17.31;20.06;21.34
9/12/1992;5.75;8.5;17.31;19.94;21.56
10/12/1992;5.56;8.5;17.12;19.87;21.72
11/12/1992;5.4;8.5;17.19;19.94;21.81
14/12/1992;5.45;8.38;17.31;19.75;21.75
15/12/1992;5.4;8.5;17.37;20.31;22.22
16/12/1992;5.44;8.38;17.37;20.31;22.16
17/12/1992;5.62;8.5;17.62;20.75;22.16
18/12/1992;5.62;8.5;17.88;21.87;22.09
21/12/1992;5.66;8.5;18.44;21.75;21.62
22/12/1992;5.48;8.5;18.69;21.81;21.5
23/12/1992;5.45;8.38;19.31;21.81;21.09
24/12/1992;5.45;8.5;19.62;21.75;21.19
25/12/1992;5.45;8.5;19.62;21.75;21.19
28/12/1992;5.47;8.25;19.44;21.75;20.97
29/12/1992;5.41;8.38;19.81;21.5;20.97
30/12/1992;5.37;8.5;19.75;21.37;21
31/12/1992;5.34;8.38;20.06;20.94;20.75
1/01/1993;5.34;8.38;20.06;20.94;20.75
4/01/1993;5.32;8.25;19.81;21;20.81
5/01/1993;5.41;8.25;20;20.56;20.41
6/01/1993;5.56;8.25;20.12;20.69;20.28
7/01/1993;5.45;8.5;20.12;20.31;20.44
8/01/1993;5.45;8.13;19.5;20.12;20
11/01/1993;5.57;8.13;19.13;20.37;20.31
12/01/1993;5.61;8.38;19.13;20.5;20.22
