Week;AES;ALCOA;ALLEGHENY TECHS.;AMER.ELEC.PWR.;AMER.EXPRESS;AMER.INTL.GP.;AMGEN;ANHEUSER - BUSCH;AOL TIME WARNER;AT & T;AVON PRODUCTS;BAKER HUGHES;BANK OF AMERICA;BANK ONE;BAXTER INTL.;BLACK & DECKER;BOEING;BOISE CASCADE;BRISTOL MYERS SQUIBB;BURLINGTON NTHN.SANTA FE C;CAMPBELL SOUP;CIGNA;CISCO SYSTEMS;CITIGROUP;CLEAR CHL.COMMS.;COCA COLA;COLGATE - PALM.;CMP.SCIENCES;DELTA AIR LINES;DOW CHEMICALS;DU PONT E I DE NEMOURS;EASTMAN KODAK;EL PASO;EMC MASS.;ENTERGY;EXELON;EXXON MOBIL;FEDEX;FORD MOTOR;GEN.DYNAMICS;GEN.ELEC.;GENERAL MOTORS;GILLETTE;HALLIBURTON;HARRAHS ENTM.;HCA;HEINZ HJ;HEWLETT - PACKARD;HOME DEPOT;HONEYWELL INTL.;INTEL;INTL.BUS.MACH.;INTL.PAPER;J P MORGAN CHASE & CO.;JOHNSON & JOHNSON;LIMITED BRANDS;MAY DEPT.STORES;MCDONALDS;MEDIMMUNE;MEDTRONIC;MERCK;MERRILL LYNCH;MICROSOFT;NAT.SEMICONDUCTOR;NEXTEL COMMS.A;NORFOLK STHN.;ORACLE;PEPSICO;PFIZER;PHARMACIA;PHILIP MORRIS;PROCTER & GAMBLE;RADIOSHACK;RAYTHEON NEW;ROCKWELL AUTOMATION;SARA LEE CORP.;SBC COMMUNICATIONS;SCHLUMBERGER (NYS);SEARS ROEBUCK;SOUTHERN;TEXAS INSTS.;TOYS R US HOLDINGS CO.;TYCO INTL.;US BANCORP DEL.NEW;UNISYS;UNITED TECHNOLOGIES;VERIZON COMMS.;VIACOM 'B';WAL MART STORES;WALT DISNEY;WELLS FARGO & CO;WEYERHAEUSER;WILLIAMS COS.;XEROX;3M CO.
Week1;3.48;8.48;29.5;30.75;6.8;12.12;9.08;14.12;0.14;15.72;14.75;20.38;24.63;29.15;14.15;19;17.62;19.38;16.34;13.29;20.15;17.79;0.99;3.51;1.54;20.5;14.78;12.44;28.81;17.87;23.5;32.02;14.56;0.59;31.38;26.13;14.69;12.03;7.13;25.13;6.56;23.92;14.97;14.47;9.7;11.5;26.33;5.6;10;14.22;2.16;16.03;31.69;12.17;12.62;11.02;21.74;11.66;3.5;6.47;22.87;7.48;5.84;12.5;7.56;19.75;0.57;18.57;6.44;10.01;26.42;27.04;6.91;22.19;6.51;14.84;16.09;27.9;16.38;10.88;3.19;35.75;3.9;3.69;8.75;11.06;22.31;17.31;15.41;13.71;10.5;38.25;5.74;12.69;49.62
Week2;3.72;8.19;29.62;31.25;6.96;11.58;9.34;14.34;0.15;16.11;14.69;20.5;25.13;28.85;14.2;19.13;16.87;19.13;16.22;13.17;20.8;18.12;1;3.45;1.54;20.37;14.75;12.5;26.13;17.58;23.13;31.83;15.25;0.59;31.75;26.13;15;12.03;7.2;24.97;6.51;23.82;14.5;14.47;10.78;12.5;27.25;5.74;9.98;13.94;2.18;15.31;30.94;11.92;12.56;12.07;21.7;12.19;3.56;6.21;23.12;7.39;5.87;13;7.94;19.79;0.56;19.14;6.55;9.54;26.96;27.1;6.94;22.44;6.48;14.91;17.16;27.63;16.01;11;3.07;38.25;3.7;3.86;8.63;10.56;23.69;19.06;15.44;13.62;10.69;38.25;5.8;12.79;48.36
Week3;4.09;8.52;31.1;31.13;7.27;12.04;9.64;14.58;0.14;16.36;14.94;20;25.19;28.78;14.05;19.13;16.94;19.63;16.08;14.17;20.74;18.96;1.04;3.57;1.56;20.31;14.97;13.19;26.25;17.62;23.31;33.7;15.25;0.62;32.25;25.88;14.97;12.41;7.49;24.13;6.91;24.99;14.66;14.18;10.99;13.08;28.08;6.21;10.08;14;2.2;16.34;31.5;12.46;12.84;12.07;22.19;12.03;3.58;6.04;22.69;7.47;5.7;12.75;8.38;20.91;0.51;18.85;6.55;9.47;26.46;27.04;7.41;22.62;6.39;15.16;17.63;26.9;16.01;10.84;3.03;39;3.83;3.78;8.5;11.03;23.88;19.19;15.84;13.67;10.5;38;5.94;13.08;49.26
Week4;3.88;8.75;32.95;31.25;7.23;12.1;9.5;14.37;0.17;16.19;14.19;18.75;25.25;29.38;14.79;20;17.25;19.88;16.17;13.67;21.16;19;1.02;3.75;1.63;19.75;14.69;12.75;27.75;18.42;24.81;32.02;15.25;0.65;31.75;25.5;14.69;13.38;7.68;24.06;6.8;25.68;14.84;14.12;10.99;13.58;28.67;6.24;10.5;14.34;2.41;16.81;32.31;12.33;12.56;12.94;21.55;12.25;4.19;6.02;22.94;7.63;5.73;12.75;8.56;20.79;0.56;18.97;6.42;9.56;27.13;26.61;7.37;22.75;6.54;15.19;17.66;26.62;16.85;10.88;3.04;38.75;4.03;3.83;10.25;11.22;23.63;18.38;15.81;13.37;10.69;37.63;5.88;12.96;48.9
Week5;4.05;9.02;32.58;31.63;7.7;12.32;8.87;14.55;0.19;16.62;13.69;18.63;25;29.3;15.01;19.75;17.12;20.75;16.76;13.96;21.16;18.87;1.02;3.75;1.62;19.87;14.5;13.04;25.75;18.75;24.31;32.02;15.38;0.66;31.63;25.88;15.31;13.41;7.79;25.84;6.95;26.17;15;13.88;11.02;13.83;28.83;6.52;10.81;14.56;2.52;15.44;33.37;11.88;12.87;12.59;21.29;12.28;3.83;5.9;23.56;7.78;5.56;10.75;8.81;21;0.56;19.26;6.51;9.66;26.67;26.36;7.47;24.87;6.95;15.28;17.72;26.46;16.62;11.15;3.03;39.63;3.96;3.75;9.88;11.94;24.44;19.69;15.94;13.5;10.63;36.75;5.94;12.98;50.22
Week6;4.13;8.91;33.32;31.88;7.74;12.57;9.2;14.46;0.18;16.79;13.84;19.13;25.69;29.45;14.79;18.63;17.62;21.75;16.73;13.92;20.8;19;1.01;3.62;1.64;20.75;14.37;12.94;25.88;19.08;25;32.42;15.25;0.66;32.38;25.88;15.5;13.88;7.27;25.44;7.1;25.48;14.5;13.94;11.25;13.17;29.33;6.42;11.21;14.66;2.7;13.25;32.25;12.25;13.19;12.48;21.02;11.97;3.5;6.06;23.25;7.58;5.62;10.88;8.19;21.08;0.52;19.31;6.6;9.62;25.63;26.17;7.59;24.75;7.11;15.41;18.09;26.01;16.01;11.34;2.86;39.63;3.77;3.72;10.13;11.78;25.75;19.25;16.28;13.75;10.72;37;5.97;12.96;48.36
Week7;4.37;8.88;33.57;32.75;7.86;12.53;8.87;14.73;0.21;18.08;13.66;18.63;25.75;31.18;14.3;17.88;19.62;21.25;16.19;14.54;20.8;18.67;1.05;3.81;1.69;21.75;14.28;13.08;25.13;18.87;24.13;32.12;15.5;0.7;32.88;26.75;15.53;13.47;7.74;26.19;7.21;25.88;14.63;13.82;12.81;13.42;29.92;6.49;11.35;15.13;2.81;13.19;32.25;12.83;12.87;13;20.53;12.22;3.58;5.74;22.37;7.55;5.45;10.5;8.75;21;0.69;19.43;6.21;9.82;25.88;27.6;7.62;26.37;7.23;15.63;18.44;25.06;16.57;11.72;2.86;39;3.9;4.04;10.13;12;26.5;19.88;16.22;14.33;10.91;37.75;5.86;13.23;49.92
Week8;4.49;8.95;34.31;33.13;7.78;12.22;8.83;14.37;0.23;17.48;13.84;19.63;25.69;31.93;14.24;18.13;20.06;21.13;16.05;14.5;20.15;19.54;1.09;3.76;1.63;20.94;13.94;13.04;25.44;19.08;23.56;32.02;15.5;0.72;33;26.13;15.28;13.63;7.84;25.91;7.12;25.29;14.22;13.7;12.93;14.17;29.42;6.84;11.25;15.13;2.72;12.59;33.31;12.88;12.62;12.53;21.36;12.19;3.83;5.95;21.69;7.44;5.34;10.63;9.25;20.41;0.7;19.08;6.04;9.92;25.71;26.61;7.44;25.62;7.26;15;18.5;25.51;16.99;11.68;2.91;40.13;4.03;4;10.13;12.03;25.63;20.94;16;14.33;10.78;36.88;6.01;13.21;48.42
Week9;4.33;8.83;35.67;32.63;7.82;11.97;8.47;14.18;0.2;17.73;12.97;18.75;24.94;30.65;13.2;18.63;20.12;21.13;14.95;14.71;19.37;19.62;1.12;3.88;1.64;20.31;13.69;12.79;25.94;18.79;23.69;33.61;15.44;0.71;32.63;26;15.41;14.13;8.18;26.09;7.16;26.17;13.59;12.98;12.93;15.5;28.5;6.9;10.6;14.5;3.11;11.75;32.25;12.54;11.41;13.11;21.17;12.19;3.54;5.48;20.75;7.42;5.45;11.25;11.31;21;0.74;17.94;5.59;9.15;24.21;25.43;7.56;25.69;7.2;14.06;18.44;24.9;16.66;11.41;3.41;38.75;3.9;3.94;10.75;12.22;25.5;20.44;15.03;14.37;10.63;38;5.61;14.06;47.93
Week10;4.49;8.58;35.67;33.13;7.86;12.29;8.73;14.73;0.2;18.08;13.84;19;26.44;30.8;13.64;18.13;18.75;20.13;15.01;14.46;19.55;19.5;1.24;4.04;2;21.62;14.03;12.89;26.5;17.92;22.81;38.84;15.38;0.76;34.13;26.5;15.09;14.06;8.18;27.59;7.07;26.66;14.19;13.04;13.49;15.33;28.08;7.25;11.02;14.41;3.52;12.19;30.44;13.46;11.56;13.23;21.02;12.5;3.52;5.64;21;8.06;5.7;11.25;12.56;21.08;0.75;18.74;5.47;9.08;24.58;25.06;7.12;26.19;7.51;14.25;18.81;25.23;17.69;11.68;3.54;38.63;3.83;4;11.63;11.84;26.25;21.19;15.06;14.83;10.63;37.13;5.74;14.19;48.12
