Week;US TREASURY BILL 3 MONTH  -  MIDDLE RATE
Week1;3.13
Week2;3.22
Week3;3.31
Week4;3.37
Week5;3.31
Week6;3.26
Week7;3.24
Week8;3.15
Week9;3.18
Week10;3.04
Week11;3.05
Week12;2.94
Week13;2.98
Week14;2.98
Week15;2.95
Week16;3
Week17;2.98
Week18;3.02
Week19;3.01
Week20;2.97
Week21;2.97
Week22;2.97
Week23;2.9
Week24;2.89
Week25;2.95
Week26;2.91
Week27;2.99
Week28;3.03
Week29;3.13
Week30;3.1
Week31;3.18
Week32;3.1
Week33;3.16
Week34;3.05
Week35;3.07
Week36;3.07
Week37;3.16
Week38;3.09
Week39;3.12
Week40;3.08
Week41;3.04
Week42;3.05
Week43;3.05
Week44;3.02
Week45;3.01
Week46;2.99
Week47;2.98
Week48;3.04
Week49;3.07
Week50;3.11
Week51;3.11
Week52;3.15
Week53;3.19
Week54;3.17
Week55;3.19
Week56;3.11
Week57;3.06
Week58;3.03
Week59;3.06
Week60;2.98
Week61;3.05
Week62;2.95
Week63;2.95
Week64;2.92
Week65;3.13
Week66;3.33
Week67;3.35
Week68;3.44
Week69;3.56
Week70;3.6
Week71;3.54
Week72;3.53
Week73;3.57
Week74;3.61
Week75;3.65
Week76;3.82
Week77;3.96
Week78;4.12
Week79;4.22
Week80;4.24
Week81;4.27
Week82;4.23
Week83;4.22
Week84;4.21
Week85;4.22
Week86;4.23
Week87;4.36
Week88;4.41
Week89;4.42
Week90;4.55
Week91;4.43
Week92;4.45
Week93;4.71
Week94;4.67
Week95;4.66
Week96;4.67
Week97;4.7
Week98;4.92
Week99;4.71
Week100;5.1
Week101;5.04
Week102;5.13
Week103;5.11
Week104;5.24
Week105;5.34
Week106;5.51
Week107;5.44
Week108;5.71
Week109;5.82
Week110;5.71
Week111;5.55
Week112;5.65
Week113;5.88
Week114;5.79
Week115;5.88
Week116;5.95
Week117;6.02
Week118;5.95
Week119;5.85
Week120;5.88
Week121;5.92
Week122;5.95
Week123;5.92
Week124;5.88
Week125;5.88
Week126;5.85
Week127;5.82
Week128;5.76
Week129;5.87
Week130;5.77
Week131;5.82
Week132;5.87
Week133;5.85
Week134;5.68
Week135;5.76
Week136;5.65
Week137;5.53
Week138;5.57
Week139;5.53
Week140;5.55
Week141;5.6
Week142;5.58
Week143;5.59
Week144;5.55
Week145;5.61
Week146;5.52
Week147;5.45
Week148;5.51
Week149;5.44
Week150;5.4
Week151;5.42
Week152;5.47
Week153;5.47
Week154;5.41
Week155;5.39
Week156;5.47
Week157;5.52
Week158;5.52
Week159;5.52
Week160;5.53
Week161;5.48
Week162;5.43
Week163;5.09
Week164;5.01
Week165;5.18
Week166;5.19
Week167;5.11
Week168;5.12
Week169;5.01
Week170;4.92
Week171;4.94
Week172;4.95
Week173;5.01
Week174;5.02
Week175;5.1
Week176;5.16
Week177;5.18
Week178;5.15
Week179;5.09
Week180;4.99
Week181;5.1
Week182;5.13
Week183;5.13
Week184;5.14
Week185;5.18
Week186;5.19
Week187;5.22
Week188;5.24
Week189;5.27
Week190;5.19
Week191;5.24
Week192;5.29
Week193;5.26
Week194;5.3
Week195;5.31
Week196;5.15
Week197;5.19
Week198;5.13
Week199;5.23
Week200;5.35
Week201;5.29
Week202;5.25
Week203;5.01
Week204;5.05
Week205;5.14
Week206;5.11
Week207;5.12
Week208;5.15
Week209;5.14
Week210;5.16
Week211;5.16
Week212;5.16
Week213;5.04
Week214;4.97
Week215;5
Week216;5.09
Week217;5.19
Week218;5.16
Week219;5.16
Week220;5.16
Week221;5.18
Week222;5.13
Week223;5.12
Week224;5.09
Week225;5.21
Week226;5.22
Week227;5.25
Week228;5.34
Week229;5.37
Week230;5.26
Week231;5.29
Week232;5.29
Week233;5.3
Week234;5.23
Week235;5.21
Week236;5.11
Week237;5.17
Week238;5.03
Week239;5.1
Week240;4.95
Week241;5.07
Week242;5.12
Week243;5.14
Week244;5.14
Week245;5.22
Week246;5.22
Week247;5.24
Week248;5.3
Week249;5.33
Week250;5.26
Week251;5.23
Week252;5.13
Week253;5.12
Week254;5.09
Week255;4.92
Week256;5.07
Week257;5.12
Week258;5.05
Week259;5.12
Week260;5.15
Week261;5.31
Week262;5.27
Week263;5.28
Week264;5.23
Week265;5.25
Week266;5.19
Week267;5.23
Week268;5.35
Week269;5.35
Week270;5.12
Week271;5.12
Week272;5.12
Week273;5.19
Week274;5.14
Week275;5.23
Week276;5.2
Week277;5.32
Week278;5.17
Week279;5.08
Week280;5.17
Week281;5.21
Week282;5.1
Week283;5.08
Week284;5.07
Week285;5.08
Week286;4.98
Week287;5.1
Week288;5.18
Week289;5.24
Week290;5.05
Week291;5.12
Week292;5.1
Week293;5.19
Week294;5.02
Week295;5.07
Week296;5.07
Week297;5.15
Week298;5.08
Week299;5.07
Week300;5.03
Week301;5.05
Week302;5.04
Week303;4.97
Week304;4.84
Week305;4.82
Week306;4.6
