Name;AMER.EXPRESS;AOL TIME WARNER;AT & T;BLACK & DECKER;COLGATE - PALM.;FORD MOTOR;MCDONALDS;PFIZER;TEXAS INSTS.;WAL MART STORES
Week1;-0.043800123;0.085714286;0.02081448;0.030598324;0.019957737;0.033304119;0.075339806;0.048666667;0.00071736;-0.012703454
Week2;0.016129032;0.110047847;-0.013002364;0.002269289;0.002762431;-0.018659881;0.135427952;0.05626192;0.010035842;0.021712907
Week3;0.133015873;-0.009698276;-0.00748503;-0.014150943;-0.01584022;0.109766638;-0.011132316;-0.004513993;-0.069552874;0
Week4;-0.043989913;0.023939064;0.00361991;-0.009569378;-0.038488453;0.059968847;-0.009006111;0.014510278;0.110602593;0.034238489
Week5;0.006740914;-0.053134963;-0.068830778;0;0.083454634;-0.077883909;-0.052580331;0.146007151;0.068681319;-0.022450533
Week6;-0.008442504;0.121212121;-0.025500323;-0.002318841;0.004030452;0;0.059952038;-0.013520541;0.030205656;-0.015959517
Week7;-0.02495596;0.123123123;-0.037429612;0.007166376;-0.015165031;-0.003984064;-0.008080155;-0.061149183;-0.00062383;0.001186709
Week8;0.055103884;-0.02228164;-0.009635237;0.090192308;0.015398551;0.0644;0.043662431;0.010668164;-0.030586767;0.070327934
Week9;0.001141553;-0.002734731;0.022932592;0.006526724;-0.002676182;0.0526118;0.029347487;0.010277778;-0.113329041;0.028792913
Week10;-0.017673888;-0.045703839;0.035326087;0.005608132;-0.032200358;0.018207783;0.014255384;-0.022821006;-0.042120552;-0.005382131
Week11;0.005513639;-0.029693487;0.002952756;-0.02840711;0.015249538;0.058906031;0;0.00365785;-0.035633055;0.021284271
Week12;0.001154401;0.074037512;0.018645731;-0.004484305;0.002048248;-0.044039735;-0.039473684;0.000560695;-0.024371069;0.042034617
Week13;0.012395503;0.078125;0.003853565;0.056396396;0.038382921;0.034291652;0.056662516;0.068086299;0.097502015;-0.016949153
Week14;0.035592255;0.151747656;-0.062060141;0.021320143;-0.04111986;0.066309444;0.000883913;-0.033840504;0.063142438;0.034482759
Week15;0.023095958;0.020725389;-0.060027285;0.051102204;0.006386861;-0.004082915;0.045039741;-0.027151778;-0.000690608;0.011333333
Week16;0.023918302;0.031907179;0.047895501;0.023832221;0.030598368;0.019236834;0.014084507;0.079263187;0.0138217;0.040210943
Week17;0.00839895;0.077301476;0.03566482;0.008690255;0.045964372;0.012685644;-0.001666667;0.015515904;0.072256305;0.089036755
Week18;-0.055960437;0.023483366;-0.015713808;-0.043230769;0.019133726;-0.022914757;-0.048692265;-0.05398523;-0.0546726;-0.07622927
Week19;0.046594982;-0.063097514;0.022418478;-0.109503136;-0.007220961;0.040650407;-0.016671541;0.005921938;0.025554808;0.001889764
Week20;-0.112486828;-0.104081633;-0.028239203;-0.037378115;-0.061512884;-0.118389423;-0.080606782;-0.058870752;0.005901639;0.005972964
Week21;-0.057583853;0.011389522;-0.016068376;-0.033952354;-0.043622675;-0.046353102;0.057586542;-0.033266989;-0.024119948;0.005
Week22;0.019527559;0.060810811;-0.017373176;0.042524272;-0.050706182;-0.042887777;0.006729887;0.036176471;-0.016700067;0.006529851
Week23;-0.063021316;-0.070771408;-0.01980198;-0.087353325;-0.013658537;-0.048543689;-0.051352173;-0.017314789;-0.088994565;0.048501699
Week24;-0.151005605;-0.174409749;-0.061327561;-0.090612245;-0.113006924;-0.086342229;-0.072069186;-0.0384171;-0.057419836;-0.117560401
Week25;-0.100194175;0.105166052;0.066487317;-0.002692998;-0.050459994;0.017611684;0.031066621;-0.054971463;0.001582278;-0.024373957
Week26;0.206732844;0.017529215;0.037117117;0.064581458;0.005578391;0.046433094;-0.057248075;0.047679593;0.048973144;0.041752225
Week27;-0.055078684;0.150123052;0.034051425;-0.072500528;0.030072993;0.0524405;0.008877841;0.086468447;0.018072289;0.031865966
Week28;-0.072672218;-0.108416548;-0.033938172;-0.05993619;-0.036281179;-0.073591414;0.053854277;-0.072605417;-0.083579882;-0.154409424
Week29;-0.015510204;-0.1448;0.021913043;0.031757576;0.079117647;-0.06785271;0.036406146;-0.099066546;-0.046811945;0.069653614
